x,y,z,blade_engaged
-0.001888,0.000593,0.061961,1
-0.001883,0.000609,0.061961,1
-0.001878,0.000627,0.061962,1
-0.001872,0.000646,0.061962,1
-0.001866,0.000665,0.061962,1
-0.001859,0.000685,0.061962,1
-0.001853,0.000707,0.061963,1
-0.001846,0.000729,0.061963,1
-0.001838,0.000752,0.061963,1
-0.001831,0.000776,0.061964,1
-0.001823,0.000801,0.061964,1
-0.001815,0.000827,0.061964,1
-0.001806,0.000854,0.061965,1
-0.001798,0.000882,0.061965,1
-0.001789,0.000910,0.061966,1
-0.001780,0.000940,0.061966,1
0.002318,-0.002209,0.062104,1
0.002365,-0.002181,0.062102,1
0.002320,-0.002266,0.062090,1
0.002362,-0.002243,0.062088,1
0.002783,-0.001924,0.062082,1
0.002826,-0.001891,0.062078,1
0.002869,-0.001857,0.062074,1
0.002912,-0.001824,0.062070,1
0.002956,-0.001790,0.062066,1
0.002999,-0.001756,0.062062,1
0.003638,-0.001059,0.062002,1
0.003664,-0.001018,0.061999,1
0.003691,-0.000976,0.061996,1
0.003718,-0.000934,0.061994,1
0.003745,-0.000892,0.061991,1
0.003772,-0.000849,0.061988,1
0.004080,0.001255,0.061909,1
0.004075,0.001272,0.061909,1
0.004069,0.001289,0.061909,1
0.004064,0.001308,0.061909,1
0.004058,0.001328,0.061909,1
0.004051,0.001348,0.061909,1
0.004045,0.001369,0.061909,1
0.004038,0.001392,0.061908,1
0.004031,0.001415,0.061908,1
0.004024,0.001439,0.061908,1
0.004016,0.001464,0.061908,1
0.004008,0.001490,0.061908,1
0.004000,0.001516,0.061908,1
0.003992,0.001544,0.061908,1
0.003983,0.001573,0.061908,1
0.003974,0.001603,0.061908,1
0.003964,0.001633,0.061908,1
0.003955,0.001665,0.061908,1
0.003945,0.001697,0.061908,1
0.003935,0.001730,0.061907,1
0.003924,0.001764,0.061907,1
0.003746,0.002177,0.061911,1
0.003734,0.002196,0.061912,1
0.003721,0.002215,0.061913,1
0.003707,0.002236,0.061914,1
0.003693,0.002257,0.061915,1
0.003678,0.002280,0.061916,1
0.003663,0.002303,0.061917,1
0.003647,0.002327,0.061918,1
0.003631,0.002351,0.061919,1
0.003614,0.002377,0.061920,1
0.003596,0.002403,0.061922,1
0.003578,0.002431,0.061923,1
0.003560,0.002459,0.061924,1
0.003541,0.002488,0.061925,1
0.003424,0.002573,0.061935,1
0.003405,0.002595,0.061935,1
0.003418,0.002583,0.061935,1
0.003396,0.002612,0.061936,1
0.003374,0.002642,0.061936,1
0.003352,0.002673,0.061936,1
0.003329,0.002705,0.061937,1
0.003305,0.002737,0.061937,1
0.003280,0.002771,0.061938,1
0.003255,0.002805,0.061938,1
0.003230,0.002840,0.061938,1
0.003204,0.002876,0.061939,1
0.003177,0.002912,0.061939,1
0.003196,0.002977,0.061933,1
0.003150,0.003049,0.061930,1
0.003320,0.003158,0.061876,1
0.003268,0.003254,0.061867,1
0.003300,0.003292,0.061855,1
0.003295,0.003339,0.061847,1
0.003291,0.003386,0.061839,1
0.003286,0.003433,0.061831,1
0.003281,0.003481,0.061822,1
0.003093,0.003471,0.061852,1
0.003063,0.003508,0.061850,1
0.003033,0.003545,0.061847,1
0.003003,0.003582,0.061845,1
0.002973,0.003620,0.061842,1
0.003004,0.003864,0.061781,1
0.003010,0.003868,0.061779,1
0.003015,0.003871,0.061777,1
0.003019,0.003874,0.061775,1
0.003012,0.004017,0.061738,1
0.002975,0.004039,0.061739,1
0.002937,0.004061,0.061739,1
0.002805,0.004068,0.061760,1
0.002835,0.004188,0.061718,1
0.002823,0.004128,0.061741,1
0.002754,0.004203,0.061726,1
0.002863,0.004217,0.061702,1
0.002787,0.004408,0.061641,1
0.002659,0.004321,0.061696,1
0.002627,0.004360,0.061686,1
0.002595,0.004400,0.061676,1
0.002581,0.004568,0.061610,1
0.002586,0.004483,0.061645,1
0.002496,0.004578,0.061621,1
0.002580,0.004567,0.061611,1
0.002420,0.004603,0.061619,1
0.002385,0.004641,0.061607,1
0.002351,0.004680,0.061595,1
0.002378,0.004902,0.061498,1
0.002346,0.004894,0.061505,1
0.002246,0.004795,0.061559,1
0.002211,0.004833,0.061546,1
0.002172,0.004955,0.061494,1
0.002207,0.004891,0.061523,1
0.002183,0.005001,0.061468,1
0.002188,0.005024,0.061456,1
0.002014,0.004947,0.061509,1
0.001981,0.005186,0.061384,1
0.001963,0.005178,0.061390,1
0.001944,0.005170,0.061396,1
0.001925,0.005161,0.061401,1
0.001906,0.005153,0.061407,1
0.001886,0.005144,0.061414,1
0.001808,0.005414,0.061268,1
0.001651,0.005305,0.061339,1
0.001643,0.005340,0.061320,1
