x,y,z,blade_engaged
-0.001910,0.000601,0.062861,1
-0.001908,0.000608,0.062861,1
-0.001905,0.000616,0.062861,1
-0.001903,0.000624,0.062861,1
-0.001900,0.000632,0.062861,1
-0.001897,0.000641,0.062862,1
-0.001894,0.000651,0.062862,1
-0.001891,0.000661,0.062862,1
-0.001888,0.000671,0.062862,1
-0.001884,0.000682,0.062862,1
-0.001881,0.000693,0.062862,1
-0.001877,0.000705,0.062862,1
-0.001873,0.000717,0.062863,1
-0.001869,0.000729,0.062863,1
-0.001865,0.000742,0.062863,1
-0.001861,0.000756,0.062863,1
-0.001857,0.000770,0.062863,1
-0.001852,0.000784,0.062864,1
-0.001848,0.000799,0.062864,1
-0.001843,0.000815,0.062864,1
-0.001838,0.000831,0.062864,1
-0.001833,0.000847,0.062864,1
-0.001827,0.000864,0.062865,1
-0.001822,0.000881,0.062865,1
-0.001817,0.000898,0.062865,1
-0.001811,0.000916,0.062865,1
-0.001805,0.000934,0.062866,1
-0.001799,0.000953,0.062866,1
-0.001793,0.000972,0.062866,1
-0.001638,0.001354,0.062869,1
-0.001628,0.001376,0.062869,1
-0.001617,0.001397,0.062869,1
-0.001606,0.001420,0.062869,1
-0.001595,0.001442,0.062869,1
-0.001584,0.001466,0.062869,1
-0.001572,0.001489,0.062869,1
-0.001560,0.001514,0.062869,1
-0.001548,0.001538,0.062869,1
-0.001536,0.001563,0.062869,1
-0.001524,0.001588,0.062869,1
-0.001512,0.001613,0.062869,1
-0.001499,0.001639,0.062869,1
-0.001486,0.001665,0.062869,1
-0.001486,0.001665,0.062869,1
-0.001130,0.002233,0.062874,1
-0.001109,0.002259,0.062875,1
-0.001089,0.002285,0.062876,1
-0.001068,0.002311,0.062877,1
-0.001047,0.002337,0.062878,1
-0.001026,0.002363,0.062879,1
-0.001005,0.002389,0.062880,1
-0.000984,0.002416,0.062881,1
-0.000962,0.002443,0.062882,1
-0.000941,0.002471,0.062883,1
-0.000918,0.002499,0.062884,1
-0.000896,0.002527,0.062885,1
-0.000873,0.002556,0.062887,1
-0.000850,0.002584,0.062888,1
0.003641,0.002400,0.062824,1
0.003632,0.002414,0.062825,1
0.003622,0.002428,0.062825,1
0.003613,0.002442,0.062826,1
0.003603,0.002458,0.062827,1
0.003396,0.002734,0.062833,1
0.003386,0.002745,0.062833,1
0.003376,0.002757,0.062833,1
0.003558,0.002524,0.062830,1
0.003481,0.002639,0.062834,1
0.003469,0.002656,0.062834,1
0.003456,0.002673,0.062834,1
0.003443,0.002691,0.062835,1
0.003429,0.002710,0.062835,1
0.003415,0.002729,0.062835,1
0.003400,0.002749,0.062835,1
0.003385,0.002770,0.062836,1
0.003370,0.002791,0.062836,1
0.002571,0.003467,0.062829,1
0.002564,0.003470,0.062829,1
0.002557,0.003474,0.062829,1
0.002549,0.003478,0.062829,1
0.002540,0.003482,0.062829,1
0.002531,0.003486,0.062829,1
0.002521,0.003491,0.062829,1
0.002510,0.003496,0.062829,1
0.002498,0.003502,0.062828,1
0.002486,0.003508,0.062828,1
0.002473,0.003514,0.062828,1
0.002459,0.003521,0.062828,1
0.002445,0.003528,0.062828,1
0.002429,0.003536,0.062828,1
0.002413,0.003544,0.062828,1
0.002395,0.003552,0.062828,1
0.002377,0.003561,0.062827,1
0.002358,0.003570,0.062827,1
0.002338,0.003580,0.062827,1
0.002317,0.003590,0.062827,1
0.002296,0.003601,0.062827,1
0.002274,0.003611,0.062827,1
0.002251,0.003623,0.062827,1
0.002228,0.003634,0.062826,1
0.002203,0.003646,0.062826,1
0.002179,0.003658,0.062826,1
0.002153,0.003670,0.062826,1
0.002127,0.003683,0.062826,1
0.001830,0.003871,0.062818,1
0.001821,0.003872,0.062819,1
0.001811,0.003872,0.062819,1
0.001800,0.003873,0.062820,1
0.001787,0.003874,0.062820,1
0.001774,0.003875,0.062821,1
0.001760,0.003876,0.062821,1
0.001744,0.003877,0.062822,1
